year,month,NO2_Guanyuan,NO2_Dongsi,NO2_Dingling,NO2_Changping,NO2_Aotizhongxin,NO2_Gucheng,NO2_Huairou,NO2_Nongzhanguan,NO2_Shunyi,NO2_Tiantan,NO2_Wanliu,NO2_Wanshouxigong
2014,5,57.986559139784944,45.12607526881721,17.73198924731183,36.37567204301075,56.19260752688172,59.88064516129032,28.488172043010753,55.78575268817204,53.737231182795696,45.02849462365591,64.23185483870968,48.6255376344086
2014,6,45.40277777777778,45.50277777777778,13.705555555555556,31.368055555555557,51.30555555555556,45.18472222222222,21.504166666666666,48.27916666666667,30.84861111111111,40.270833333333336,51.44027777777778,46.4
2014,7,42.39381720430107,43.276881720430104,16.458333333333332,32.641129032258064,48.678763440860216,45.37096774193548,22.933333333333334,44.561021505376345,27.504032258064516,36.524193548387096,53.57661290322581,40.471774193548384
2014,8,50.39086021505377,47.69435483870968,18.647983870967742,35.98413978494624,54.89610215053763,42.957392473118276,22.02177419354839,48.34139784946237,28.841397849462364,43.490053763440855,58.90483870967741,49.19905913978494
2014,9,58.10625,55.83861111111111,19.73,35.16083333333333,64.64597222222223,55.520694444444445,26.310416666666665,57.58972222222222,35.20722222222222,50.07236111111111,65.50791666666666,59.147222222222226
2014,10,82.26209677419355,77.91532258064517,35.15860215053763,56.969086021505376,88.71908602150538,78.08736559139786,39.25268817204301,84.00806451612904,55.344086021505376,71.45161290322581,94.11827956989248,79.95295698924731
2014,11,79.19777777777777,64.75083333333333,38.6,56.51972222222222,78.90805555555556,69.06402777777778,46.404444444444444,79.5148611111111,56.92916666666667,62.71069444444444,78.58236111111111,77.09875
2014,12,65.11290322580645,52.13064516129032,26.95967741935484,48.25672043010753,45.024193548387096,56.00040322580646,38.52217741935484,65.33736559139786,47.538978494623656,60.5239247311828,63.068548387096776,64.32876344086021
2015,1,76.95537634408602,64.35201612903226,44.88951612903226,63.26075268817204,69.07715053763441,67.56814516129032,48.91223118279569,76.9236559139785,57.91155913978494,68.44153225806451,77.30793010752689,76.83172043010754
2015,2,61.979166666666664,50.839285714285715,27.578869047619047,44.49702380952381,56.629464285714285,49.410714285714285,34.59047619047619,58.90327380952381,44.691964285714285,51.60267857142857,73.3452380952381,59.458333333333336
2015,3,59.45551075268818,51.94180107526881,26.611962365591395,47.6875,61.18938172043011,52.03723118279569,34.339381720430104,63.520833333333336,51.6768817204301,51.6010752688172,87.21370967741936,59.81989247311828
2015,4,47.725,45.326388888888886,20.586111111111112,36.111111111111114,54.68305555555556,47.03194444444444,26.907222222222224,53.50277777777778,43.87222222222222,44.24166666666667,77.94027777777778,49.67777777777778
2015,5,40.166666666666664,39.788978494623656,15.970430107526882,28.291666666666668,47.89381720430107,40.240591397849464,21.997177419354838,45.543010752688176,35.44086021505376,42.6505376344086,47.619623655913976,41.80107526881721
2015,6,39.09305555555556,39.140277777777776,15.539166666666668,24.2625,45.44444444444444,41.44861111111111,15.858333333333333,43.58888888888889,32.089999999999996,42.19583333333333,41.7875,37.36666666666667
2015,7,39.998655913978496,37.865591397849464,17.336021505376344,23.262096774193548,52.42741935483871,37.600806451612904,15.216397849462366,41.18279569892473,28.666666666666668,41.483870967741936,40.461021505376344,38.19489247311828
2015,8,39.950268817204304,33.098118279569896,13.958333333333334,22.391129032258064,43.27956989247312,32.608870967741936,10.705645161290322,34.943548387096776,22.455645161290324,36.905913978494624,32.50806451612903,35.48252688172043
2015,9,46.765277777777776,48.09027777777778,17.4375,38.13194444444444,59.84722222222222,39.36666666666667,15.093055555555555,50.43194444444445,37.25972222222222,48.925,43.09027777777778,42.643055555555556
2015,10,58.836021505376344,58.873655913978496,25.067204301075268,48.43682795698925,72.10215053763442,53.95295698924731,24.93010752688172,64.28091397849462,50.13306451612903,56.20295698924731,55.89247311827957,55.770161290322584
2015,11,64.81666666666666,61.830555555555556,45.206944444444446,59.47222222222222,78.52638888888889,59.65694444444444,41.38333333333333,69.62638888888888,49.358333333333334,60.82083333333333,64.54444444444445,60.229166666666664
2015,12,83.44354838709677,72.71370967741936,51.49596774193548,76.93145161290323,89.77284946236558,74.03494623655914,50.04704301075269,96.24059139784946,63.20295698924731,79.00672043010752,79.83064516129032,75.74731182795699
2016,1,56.876344086021504,49.81317204301075,29.911290322580644,55.331989247311824,55.770161290322584,48.689516129032256,33.711021505376344,60.651881720430104,44.215053763440864,60.18010752688172,58.54032258064516,52.99327956989247
2016,2,39.94109195402299,33.916666666666664,14.545977011494253,43.93390804597701,33.32327586206897,28.229885057471265,19.125,41.400862068965516,29.64080459770115,40.38074712643678,43.13793103448276,34.48419540229885
2016,3,62.17204301075269,56.45564516129032,33.689516129032256,60.458333333333336,48.46639784946237,54.009408602150536,33.58467741935484,68.11424731182795,52.76075268817204,60.759408602150536,78.79032258064517,54.00403225806452
2016,4,47.419444444444444,43.97361111111111,26.3625,43.36944444444445,35.57222222222222,47.15277777777778,24.0875,51.359722222222224,39.795833333333334,45.0875,57.361111111111114,41.03611111111111
2016,5,40.880376344086024,41.096774193548384,18.982526881720432,34.456989247311824,30.798387096774192,40.428763440860216,21.474462365591396,44.94086021505376,39.795698924731184,36.064516129032256,48.193548387096776,37.458333333333336
2016,6,40.270833333333336,38.580555555555556,20.177777777777777,31.74861111111111,28.193055555555556,42.00277777777778,18.625,40.05277777777778,30.079166666666666,36.05972222222222,48.94166666666667,34.108333333333334
2016,7,38.178763440860216,36.58870967741935,14.504032258064516,27.260752688172044,34.748655913978496,37.39784946236559,16.067204301075268,39.43682795698925,25.666666666666668,32.36693548387097,42.41129032258065,34.48118279569893
2016,8,41.108870967741936,39.75268817204301,8.599462365591398,27.85483870967742,39.456989247311824,38.409946236559136,14.44489247311828,38.06317204301075,29.77956989247312,35.18817204301075,42.950268817204304,39.71236559139785
2016,9,51.916666666666664,50.53194444444444,12.352777777777778,36.90694444444444,48.65972222222222,44.78472222222222,14.818055555555556,46.25416666666667,34.78333333333333,46.98888888888889,48.72083333333333,50.38055555555555
2016,10,63.858870967741936,64.32795698924731,24.923387096774192,53.53360215053763,64.05510752688173,59.793010752688176,31.516129032258064,52.10215053763441,48.729838709677416,53.11290322580645,62.615591397849464,60.99193548387097
2016,11,71.32083333333334,70.03194444444445,44.56388888888889,61.88333333333333,74.63055555555556,72.375,48.48888888888889,65.6375,64.13888888888889,68.00972222222222,75.20138888888889,71.47777777777777
2016,12,86.6263440860215,81.56720430107526,55.31720430107527,69.58467741935483,86.33736559139786,83.0013440860215,50.388440860215056,81.5739247311828,69.77688172043011,84.55645161290323,91.24596774193549,89.93010752688173
2017,1,71.34946236559139,63.795698924731184,40.189516129032256,55.409946236559136,71.28494623655914,69.68951612903226,41.57661290322581,65.99059139784946,60.509408602150536,71.0524193548387,75.07123655913979,71.18548387096774
2017,2,57.782738095238095,51.34970238095238,27.641369047619047,46.075892857142854,60.604166666666664,54.16220238095238,35.77529761904762,49.623511904761905,50.12202380952381,56.10565476190476,62.45238095238095,56.464285714285715
